Transaction_Amount,Account_Balance,Customer_Tenure_Months,Daily_Transaction_Count,Transaction_Hour,Failed_Login_Attempts,Transaction_Type,Merchant_Category,Device_Type,Country,Account_Type,KYC_Status,High_Risk_Transaction
5993.43,3684.99,42,3,19,1,transfer,gambling,mobile,IN,savings,unverified,No
4723.47,35809.54,115,3,9,0,Cash_Out,gambling,mobile,IN,current,verified,No
6295.38,5628.33,78,6,22,0,transfer,gambling,mobile,IN,current,Verified ,No
8046.06,7777.62,10,5,8,0,cash_out,travel,desktop,india,savings,verified,No
4531.69,9775.65,111,2,1,0,TRANSFER,GAMBLING,desktop,BD,business,Verified ,No
45317.299999999996,40799.46,115,3,13,0,TRANSFER,food,mobile,india,savings,unverified,No
8158.43,24933.83,36,6,15,0,Cash_Out,electronics,Mobile ,BD,savings,verified,No
6534.87,29654.08,34,1,0,3,Transfer,electronics,desktop,BD,savings,verified,No
4061.05,21961.68,73,2,1,1,cash_out,GAMBLING,mobile,Bangladesh,business,verified,No
6085.12,13981.13,106,1,6,0,Cash_Out,gambling,Mobile ,BD,savings,verified,No
4073.16,,28,3,9,1,Cash_Out,gambling,Mobile ,IN,savings,Verified ,No
4068.54,4433.84,11,4,21,0,TRANSFER,gambling,mobile,IN,current,Verified ,No
5483.92,9047.17,78,5,19,0,transfer,gambling,desktop,IN,savings,unverified,No
1173.44,27329.75,39,3,0,0,cash_out,gambling,Mobile ,Bangladesh,current,unverified,No
1550.16,6427.45,119,2,12,1,transfer,GAMBLING,desktop,Bangladesh,current,unverified,No
3875.42,18109.19,47,5,0,1,cash_out,travel,desktop,india,current,unverified,No
2974.34,18564.88,118,1,4,1,Transfer,food,Mobile ,BD,business,verified,No
5628.49,14713.38,19,3,15,0,TRANSFER,gambling,mobile,BD,current,Verified ,No
3183.95,488.82,118,2,14,1,Transfer,travel,Mobile ,IN,savings,Verified ,No
2175.39,13710.71,15,2,16,1,Cash_Out,electronics,Mobile ,IN,savings,Verified ,No
7931.3,11750.32,28,1,22,1,,GAMBLING,desktop,IN,current,Verified ,No
4548.45,21614.4,24,1,15,0,Cash_Out,travel,mobile,IN,current,unverified,No
5135.06,21104.91,72,6,12,0,Transfer,gambling,desktop,IN,savings,verified,No
2150.5,23779.61,107,3,10,1,cash_out,gambling,Mobile ,IN,current,Verified ,No
3911.23,13240.14,9,1,16,0,Cash_Out,gambling,mobile,BD,business,verified,Yes
5221.85,25227.78,47,6,16,1,,travel,mobile,Bangladesh,current,verified,No
2698.01,4439.93,33,3,1,1,cash_out,gambling,mobile,IN,business,verified,No
5751.4,1780.95,62,4,12,0,cash_out,travel,mobile,BD,business,verified,No
3798.72,-3355.73,97,0,13,1,Transfer,gambling,mobile,IN,business,Verified ,No
4416.61,15007.03,19,1,10,0,Transfer,electronics,Mobile ,india,current,Verified ,No
3796.59,12467.02,67,3,9,0,TRANSFER,electronics,Mobile ,india,business,Verified ,Yes
8704.56,27893.16,74,4,2,0,TRANSFER,food,Mobile ,BD,business,unverified,No
4973.01,13513.37,40,2,16,0,transfer,gambling,desktop,Bangladesh,current,Verified ,Yes
2884.58,22733.76,47,1,14,0,cash_out,gambling,mobile,india,business,unverified,No
6645.09,28132.97,106,2,8,0,transfer,travel,mobile,india,current,unverified,Yes
2558.31,13136.81,65,7,9,0,transfer,travel,Mobile ,Bangladesh,savings,unverified,No
5417.73,22980.52,29,3,7,1,Transfer,gambling,mobile,india,business,Verified ,No
1080.66,30019.28,50,1,20,0,transfer,food,desktop,IN,current,Verified ,No
2343.63,7618.37,98,2,12,2,transfer,gambling,mobile,Bangladesh,savings,Verified ,No
5393.72,20248.52,115,1,17,1,Cash_Out,travel,mobile,india,business,unverified,No
6476.93,13179.66,13,4,4,1,TRANSFER,gambling,desktop,Bangladesh,business,unverified,No
,8255.1,118,3,5,0,TRANSFER,travel,Mobile ,IN,current,verified,No
4768.7,4635.48,1,3,16,1,cash_out,gambling,Mobile ,india,savings,unverified,No
4397.79,8093.51,34,3,10,0,TRANSFER,GAMBLING,mobile,BD,current,unverified,Yes
2042.96,20600.29,93,3,19,0,cash_out,travel,desktop,india,business,Verified ,No
3560.31,3891.56,48,4,15,0,Cash_Out,food,Mobile ,india,business,verified,No
4078.72,14492.73,111,0,8,1,TRANSFER,GAMBLING,Mobile ,IN,business,verified,No
7114.24,28131.94,77,2,1,0,Cash_Out,gambling,Mobile ,BD,business,verified,No
5687.24,24490.11,48,3,4,0,TRANSFER,travel,mobile,BD,savings,Verified ,No
1473.92,14694.92,49,5,0,1,TRANSFER,GAMBLING,desktop,BD,savings,verified,No
5648.17,36896.9,117,3,3,1,Cash_Out,food,mobile,IN,current,verified,No
4229.84,38930.36,64,5,3,0,transfer,travel,Mobile ,IN,current,Verified ,No
3646.16,20261.22,61,5,21,0,transfer,GAMBLING,desktop,IN,current,verified,No
6223.35,-4685.43,29,3,2,0,transfer,GAMBLING,mobile,IN,business,unverified,Yes
7062.0,28864.48,39,2,8,0,transfer,GAMBLING,Mobile ,IN,current,unverified,No
6862.56,-2939.76,88,2,21,0,TRANSFER,electronics,Mobile ,BD,savings,unverified,No
