iter	Passed	Remaining
0	19	19435
1	47	23705
2	66	22259
3	83	20729
4	98	19648
5	116	19296
6	132	18800
7	156	19362
8	182	20112
9	197	19517
10	213	19178
11	227	18717
12	239	18159
13	255	17959
14	268	17650
15	280	17267
16	292	16919
17	304	16599
18	315	16302
19	330	16187
20	343	16009
21	355	15803
22	369	15685
23	380	15492
24	393	15349
25	410	15380
26	423	15250
27	435	15116
28	450	15099
29	464	15008
30	479	14986
31	496	15005
32	509	14934
33	522	14855
34	536	14781
35	548	14699
36	561	14615
37	576	14594
38	589	14524
39	603	14473
40	616	14408
41	626	14300
42	639	14243
43	654	14230
44	668	14196
45	682	14163
46	698	14166
47	711	14106
48	722	14027
49	736	13985
50	749	13947
51	764	13930
52	778	13907
53	796	13946
54	821	14115
55	837	14125
56	853	14117
57	866	14076
58	880	14035
59	895	14028
60	908	13977
61	919	13912
62	933	13881
63	949	13884
64	970	13956
65	985	13947
66	1001	13942
67	1017	13941
68	1032	13935
69	1049	13938
70	1078	14113
71	1097	14147
72	1113	14143
73	1127	14113
74	1141	14079
75	1155	14049
76	1167	13991
77	1181	13970
78	1198	13977
79	1219	14022
80	1238	14046
81	1264	14153
82	1307	14441
83	1325	14450
84	1356	14602
85	1383	14699
86	1400	14696
87	1415	14665
88	1428	14619
89	1442	14581
90	1454	14528
91	1467	14487
92	1481	14450
93	1495	14418
94	1508	14370
95	1522	14337
96	1544	14376
97	1562	14383
98	1582	14406
99	1601	14410
100	1616	14392
101	1631	14361
102	1647	14346
103	1663	14331
104	1679	14315
105	1696	14309
106	1713	14299
107	1729	14282
108	1745	14265
109	1769	14318
110	1788	14326
111	1807	14332
112	1827	14344
113	1851	14389
114	1866	14364
115	1882	14346
116	1898	14326
117	1914	14310
118	1929	14281
119	1941	14235
120	1954	14201
121	1967	14157
122	1981	14126
123	1994	14086
124	2006	14042
125	2019	14005
126	2031	13966
127	2044	13928
128	2057	13890
129	2069	13848
130	2080	13804
131	2094	13774
132	2108	13743
133	2121	13709
134	2132	13663
135	2145	13630
136	2158	13595
137	2172	13568
138	2190	13568
139	2206	13554
140	2221	13535
141	2235	13505
142	2246	13463
143	2260	13436
144	2273	13407
145	2287	13378
146	2300	13351
147	2312	13310
148	2328	13296
149	2340	13265
150	2353	13232
151	2366	13203
152	2377	13163
153	2390	13133
154	2403	13104
155	2417	13076
156	2431	13058
157	2445	13032
158	2457	12996
159	2470	12969
160	2483	12939
161	2495	12908
162	2506	12871
163	2520	12849
164	2535	12829
165	2547	12801
166	2560	12770
167	2571	12735
168	2588	12728
169	2602	12706
170	2620	12702
171	2648	12750
172	2676	12794
173	2701	12823
174	2737	12903
175	2778	13007
176	2814	13088
177	2843	13132
178	2875	13188
179	2901	13219
180	2928	13249
181	2950	13262
182	2975	13284
183	3007	13338
184	3025	13328
185	3039	13303
186	3053	13274
187	3065	13239
188	3078	13210
189	3091	13180
190	3104	13149
191	3115	13111
192	3130	13091
193	3145	13069
194	3159	13044
195	3172	13015
196	3185	12984
197	3199	12960
198	3212	12931
199	3226	12905
200	3241	12885
201	3262	12888
202	3278	12872
203	3294	12854
204	3310	12839
205	3326	12822
206	3342	12805
207	3373	12846
208	3395	12851
209	3408	12824
210	3424	12805
211	3439	12783
212	3456	12770
213	3470	12748
214	3489	12740
215	3507	12729
216	3522	12710
217	3536	12685
218	3553	12672
219	3567	12649
220	3580	12620
221	3593	12591
222	3604	12558
223	3618	12536
224	3632	12510
225	3645	12486
226	3657	12454
227	3670	12429
228	3684	12403
229	3697	12378
230	3710	12352
231	3723	12325
232	3734	12294
233	3749	12274
234	3766	12259
235	3783	12247
236	3801	12239
237	3815	12216
238	3828	12190
239	3842	12166
240	3855	12140
241	3866	12112
242	3883	12097
243	3898	12078
244	3913	12058
245	3926	12036
246	3940	12013
247	3954	11990
248	3965	11961
